Number,q,T,vi.x,vi.y,objFunc
0,2.000000,0.0523961->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.446940,0.524945,5.884255
0,2.000000,0.0523961->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.731475,0.658708,5.884255
0,2.000000,0.0523961->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.369095,0.292480,5.884255
1,2.000000,0.0549069->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.355065,0.424087,7.997675
1,2.000000,0.0549069->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.432043,0.315478,7.997675
1,2.000000,0.0549069->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.638800,0.676433,7.997675
2,2.000000,0.0575381->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.462213,0.388294,9.947386
2,2.000000,0.0575381->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.395501,0.477457,9.947386
2,2.000000,0.0575381->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.778079,0.703653,9.947386
3,2.000000,0.0602954->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.799394,0.726705,5.469856
3,2.000000,0.0602954->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.288780,0.329521,5.469856
3,2.000000,0.0602954->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.316003,0.352621,5.469856
4,2.000000,0.0631848->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.302618,0.311804,1.702995
4,2.000000,0.0631848->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.311885,0.334871,1.702995
4,2.000000,0.0631848->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.748654,0.735088,1.702995
5,2.000000,0.0662127->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.251658,0.301594,3.417588
5,2.000000,0.0662127->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.773133,0.732070,3.417588
5,2.000000,0.0662127->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.503500,0.440458,3.417588
6,2.000000,0.0693857->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.794710,0.782357,0.998695
6,2.000000,0.0693857->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.196345,0.244837,0.998695
6,2.000000,0.0693857->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.596824,0.564208,0.998695
7,2.000000,0.0727108->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.582238,0.457194,5.313606
7,2.000000,0.0727108->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.601655,0.655817,5.313606
7,2.000000,0.0727108->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.354189,0.405361,5.313606
8,2.000000,0.0761952->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.290013,0.306194,2.154289
8,2.000000,0.0761952->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.312671,0.277576,2.154289
8,2.000000,0.0761952->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.733789,0.765838,2.154289
9,2.000000,0.0798465->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.366788,0.384383,-0.696285
9,2.000000,0.0798465->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.749782,0.748284,-0.696285
9,2.000000,0.0798465->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.287198,0.277401,-0.696285
10,2.000000,0.0836728->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.534751,0.640337,3.959013
10,2.000000,0.0836728->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.353271,0.308693,3.959013
10,2.000000,0.0836728->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.743814,0.656891,3.959013
11,2.000000,0.0876825->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.405243,0.441800,4.850528
11,2.000000,0.0876825->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.585403,0.612869,4.850528
11,2.000000,0.0876825->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.613131,0.505265,4.850528
12,2.000000,0.0918844->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.752442,0.706756,8.844951
12,2.000000,0.0918844->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.288258,0.320227,8.844951
12,2.000000,0.0918844->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.550720,0.534553,8.844951
13,2.000000,0.0962876->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.360663,0.348872,0.611650
13,2.000000,0.0962876->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.523000,0.515335,0.611650
13,2.000000,0.0962876->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.638803,0.659615,0.611650
14,2.000000,0.100902->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.546850,0.589342,6.213368
14,2.000000,0.100902->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.609598,0.647114,6.213368
14,2.000000,0.100902->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.366401,0.291235,6.213368
15,2.000000,0.105737->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.237638,0.242457,-3.007406
15,2.000000,0.105737->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.655265,0.698405,-3.007406
15,2.000000,0.105737->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.786651,0.707752,-3.007406
16,2.000000,0.110804->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.689366,0.733165,-1.082702
16,2.000000,0.110804->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.559283,0.506542,-1.082702
16,2.000000,0.110804->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.288396,0.325754,-1.082702
17,2.000000,0.116114->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.352853,0.341434,5.016051
17,2.000000,0.116114->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.541562,0.544909,5.016051
17,2.000000,0.116114->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.667535,0.655736,5.016051
18,2.000000,0.121678->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.277157,0.311448,-5.043251
18,2.000000,0.121678->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.383103,0.341657,-5.043251
18,2.000000,0.121678->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.770947,0.771143,-5.043251
19,2.000000,0.127509->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.432534,0.374192,-0.101736
19,2.000000,0.127509->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.509779,0.553623,-0.101736
19,2.000000,0.127509->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.610194,0.632196,-0.101736
20,2.000000,0.13362->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.775827,0.752181,-3.095326
20,2.000000,0.13362->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->0->,0.255196,0.239801,-3.095326
